Attaching 6 probes...
COMM,PID,RUNQ_MS,TOTAL_MS
fibonacci,6625,752,759
fibonacci,6619,815,822
fibonacci,6617,819,825
fibonacci,6615,822,828
fibonacci,6614,884,830
fibonacci,6710,755,761
fibonacci,6709,757,763
fibonacci,6708,759,765
fibonacci,6689,789,795
fibonacci,6688,788,797
fibonacci,6707,763,769
fibonacci,6685,797,803
fibonacci,6706,767,773
fibonacci,6684,1077,805
fibonacci,6683,797,807
fibonacci,6618,946,886
fibonacci,6705,1096,777
fibonacci,6682,804,810
fibonacci,6681,1075,812
fibonacci,6680,808,814
fibonacci,6679,1080,817
fibonacci,6678,813,819
fibonacci,6704,1102,782
fibonacci,6703,1098,784
fibonacci,6677,815,821
fibonacci,6676,817,823
fibonacci,6702,783,789
fibonacci,6674,823,828
fibonacci,6673,822,830
fibonacci,6672,826,832
fibonacci,6701,1108,793
fibonacci,6671,829,835
fibonacci,6670,831,837
fibonacci,6700,790,796
fibonacci,6669,833,839
fibonacci,6690,806,811
fibonacci,6686,1091,816
fibonacci,6668,835,841
fibonacci,6667,837,842
fibonacci,6699,793,799
fibonacci,6666,1093,845
fibonacci,6665,838,847
fibonacci,6664,1087,849
fibonacci,6711,1104,784
fibonacci,6698,799,805
fibonacci,6663,846,852
fibonacci,6620,1103,903
fibonacci,6662,1093,854
fibonacci,6697,1128,808
fibonacci,6661,851,857
fibonacci,6660,853,859
fibonacci,6696,803,812
fibonacci,6659,855,861
fibonacci,6658,854,863
fibonacci,6657,859,865
fibonacci,6695,811,816
fibonacci,6656,862,869
fibonacci,6655,864,870
fibonacci,6694,1142,821
fibonacci,6654,867,873
fibonacci,6653,868,875
fibonacci,6652,870,876
fibonacci,6693,818,824
fibonacci,6651,874,880
fibonacci,6650,1109,882
fibonacci,6649,877,884
fibonacci,6692,1153,829
fibonacci,6648,1113,886
fibonacci,6647,882,888
fibonacci,6691,827,833
fibonacci,6646,879,891
fibonacci,6645,886,893
fibonacci,6643,888,897
fibonacci,6642,892,898
fibonacci,6641,1112,900
fibonacci,6640,1113,902
fibonacci,6639,897,904
fibonacci,6638,899,905
fibonacci,6637,900,907
fibonacci,6636,1113,909
fibonacci,6635,901,910
fibonacci,6634,1115,913
fibonacci,6633,1116,914
fibonacci,6632,910,916
fibonacci,6631,912,918
fibonacci,6630,913,920
fibonacci,6629,915,921
fibonacci,6628,917,924
fibonacci,6627,914,925
fibonacci,6626,920,927
fibonacci,6621,941,951
fibonacci,6622,941,950
fibonacci,6623,940,950
fibonacci,6712,826,835
fibonacci,6713,831,840
fibonacci,6687,1388,1471
fibonacci,6616,1689,1835
fibonacci,6644,1657,1804
fibonacci,6675,2374,2976
fibonacci,6624,6501,8073





