Attaching 6 probes...
COMM,PID,RUNQ_MS,TOTAL_MS
which,14050,0,1
sh,14049,0,3
ps,14052,0,12
sh,14051,0,14
fibonacci,14167,0,2
fibonacci,14168,2,2
sudo,14163,1,3
sudo,14165,0,3
sudo,14158,1,11
sudo,14155,0,12
sudo,14159,1,11
sudo,14156,0,12
sudo,14054,0,134
sudo,14055,0,135
fibonacci,14170,1,2
sudo,14169,0,3
sudo,14162,0,10
sudo,14161,0,11
sudo,14057,2,140
fibonacci,14179,0,2
sudo,14177,0,3
fibonacci,14180,7,2
sudo,14178,0,3
sudo,14173,0,10
sudo,14171,0,11
sudo,14174,0,11
sudo,14172,0,12
sudo,14059,5,148
sudo,14058,4,149
fibonacci,14182,0,2
sudo,14181,0,3
sudo,14176,0,10
sudo,14175,0,11
sudo,14060,6,155
sed,14160,47,35
fibonacci,14190,0,2
fibonacci,14189,0,2
sudo,14188,0,2
sudo,14187,0,3
sudo,14186,0,10
sudo,14184,0,12
sudo,14185,0,11
sudo,14183,0,13
sudo,14062,9,165
sudo,14061,7,165
fibonacci,14195,0,2
sudo,14194,0,4
sudo,14192,0,12
sudo,14191,0,12
sudo,14063,10,175
fibonacci,14203,0,2
sudo,14200,0,3
sudo,14198,0,12
sudo,14196,0,13
sudo,14065,13,185
fibonacci,14207,0,2
sudo,14206,0,3
sudo,14205,0,12
sudo,14204,0,13
sudo,14066,14,194
fibonacci,14214,0,2
fibonacci,14215,2,2
sudo,14212,0,3
sudo,14213,0,3
sudo,14210,0,10
sudo,14211,0,11
sudo,14208,0,11
sudo,14209,0,11
sudo,14148,0,185
sudo,14067,17,203
fibonacci,14219,0,2
sudo,14218,0,3
sudo,14217,0,10
sudo,14216,0,11
sudo,14068,19,216
fibonacci,14230,0,2
sudo,14227,0,3
fibonacci,14232,0,2
sudo,14229,0,3
sudo,14226,0,10
sudo,14223,0,11
sudo,14224,0,11
fibonacci,14231,1,3
sudo,14221,0,11
sudo,14228,0,4
sudo,14071,22,232
sudo,14069,18,233
sudo,14225,0,12
sudo,14222,0,13
cat,14220,24,26
sudo,14070,19,239
fibonacci,14245,0,2
fibonacci,14246,1,2
fibonacci,14247,0,2
sudo,14241,1,3
fibonacci,14248,0,2
sudo,14244,1,3
sudo,14242,1,3
sudo,14240,1,10
sudo,14236,4,11
sudo,14239,5,11
sudo,14238,1,11
sudo,14233,6,12
sudo,14243,1,4
sudo,14235,6,12
sudo,14076,33,250
sudo,14072,29,251
sudo,14075,32,251
sudo,14237,1,12
sudo,14234,4,13
sudo,14074,27,253
fibonacci,14256,1,2
sudo,14255,0,3
fibonacci,14260,1,2
sudo,14258,0,3
fibonacci,14259,4,3
sudo,14257,0,4
sudo,14253,0,12
sudo,14250,0,13
sudo,14077,27,270
sudo,14254,1,14
sudo,14252,1,15
sudo,14251,1,16
sudo,14249,1,17
sudo,14081,31,273
sudo,14078,29,275
fibonacci,14269,0,2
sudo,14268,0,3
sudo,14264,0,11
sudo,14263,5,11
sudo,14082,32,281
fibonacci,14270,2,4
fibonacci,14272,0,2
sudo,14267,0,5
sudo,14271,0,3
sudo,14265,0,13
sudo,14266,0,12
sudo,14262,0,14
sudo,14261,1,14
sudo,14080,30,284
sudo,14079,30,284
fibonacci,14276,0,2
sudo,14275,0,3
sudo,14274,0,11
sudo,14273,0,12
sudo,14083,33,299
cat,14277,0,1
git,14193,134,144
fibonacci,14296,11,3
sudo,14291,1,4
sudo,14284,1,12
sudo,14280,7,13
sudo,14088,43,328
fibonacci,14297,5,4
sudo,14295,1,6
sudo,14287,1,14
sudo,14281,8,15
sudo,14086,41,331
fibonacci,14300,0,2
sudo,14298,0,2
fibonacci,14301,0,2
sudo,14299,0,3
sudo,14288,6,17
sudo,14285,2,18
sudo,14294,0,11
sudo,14286,8,18
sudo,14087,45,334
sudo,14090,39,334
fibonacci,14293,21,12
sudo,14290,1,13
sudo,14282,1,21
sudo,14278,2,22
sudo,14085,36,338
fibonacci,14305,0,2
sudo,14304,0,3
sudo,14303,0,10
sudo,14302,0,11
sudo,14089,37,352
cat,14306,0,1
fibonacci,14166,87,254
sudo,14164,1,255
sudo,14157,1,263
sudo,14154,0,264
fibonacci,14310,0,3
sudo,14309,0,4
sudo,14056,1,387
sudo,14308,0,13
sudo,14307,0,14
sudo,14091,41,382
fibonacci,14321,0,2
fibonacci,14320,2,2
sudo,14318,0,2
sudo,14317,0,3
sudo,14316,0,10
sudo,14315,0,11
sudo,14313,0,11
sudo,14312,0,11
fibonacci,14322,1,3
sudo,14319,0,4
sudo,14094,42,397
sudo,14093,42,397
sudo,14314,0,12
sudo,14311,0,13
sudo,14092,41,399
cat,14323,0,1
fibonacci,14329,0,2
sudo,14328,0,2
sudo,14325,0,10
fibonacci,14331,0,2
sudo,14324,0,11
sudo,14330,0,3
sudo,14095,45,414
sudo,14327,0,10
sudo,14326,0,11
sudo,14096,45,416
fibonacci,14339,0,2
fibonacci,14338,2,2
sudo,14337,0,3
sudo,14336,0,3
sudo,14334,0,11
sudo,14335,0,11
sudo,14332,0,11
sudo,14333,0,11
sudo,14098,47,430
sudo,14097,46,431
fibonacci,14343,0,2
sudo,14342,0,3
sudo,14341,0,11
sudo,14340,0,11
sudo,14099,48,445
fibonacci,14347,0,2
sudo,14346,0,3
sudo,14345,0,10
sudo,14344,0,11
sudo,14100,49,454
cat,14348,0,2
cat,14350,0,1
fibonacci,14355,0,2
sudo,14354,0,3
sudo,14351,0,11
sudo,14349,0,12
sudo,14101,51,471
fibonacci,14357,0,2
sudo,14356,0,3
sudo,14353,0,10
sudo,14352,0,11
sudo,14102,52,474
fibonacci,14363,0,2
sudo,14362,0,3
sudo,14359,0,10
sudo,14358,0,11
sudo,14103,52,484
fibonacci,14365,0,2
sudo,14364,0,2
sudo,14361,0,10
sudo,14360,0,10
sudo,14104,52,487
fibonacci,14369,0,2
sudo,14368,0,3
cat,14370,0,1
sudo,14367,0,19
sudo,14366,0,19
sudo,14105,55,507
fibonacci,14292,32,191
sudo,14289,1,192
sudo,14283,1,200
sudo,14279,0,201
sudo,14084,34,516
fibonacci,14378,0,2
fibonacci,14377,2,2
sudo,14376,0,3
sudo,14375,0,3
sudo,14374,0,10
sudo,14372,0,11
sudo,14373,0,11
sudo,14371,0,11
sudo,14106,56,518
sudo,14107,56,518
fibonacci,14387,0,2
sudo,14386,0,2
fibonacci,14389,0,2
sudo,14381,0,10
sudo,14388,0,3
sudo,14380,0,11
fibonacci,14391,1,2
sudo,14108,56,532
sudo,14390,0,3
sudo,14385,0,10
sudo,14384,0,11
sudo,14383,0,11
sudo,14110,59,533
sudo,14382,0,12
sudo,14109,58,534
fibonacci,14401,2,2
fibonacci,14400,0,2
sudo,14399,0,3
sudo,14398,0,3
sudo,14395,0,10
sudo,14394,0,11
sudo,14392,0,11
sudo,14393,0,11
sudo,14111,59,551
sudo,14112,60,551
fibonacci,14403,6,3
sudo,14402,0,4
sudo,14397,0,11
sudo,14396,0,12
sudo,14113,62,553
fibonacci,14412,0,2
sudo,14411,0,3
git,14404,45,16
sudo,14406,0,13
sudo,14405,0,14
sudo,14114,63,570
fibonacci,14418,0,2
sudo,14415,0,3
sudo,14410,1,13
sudo,14409,0,14
sudo,14116,63,573
fibonacci,14423,0,2
fibonacci,14424,0,2
sudo,14422,0,2
sudo,14421,0,2
sudo,14420,0,10
sudo,14419,0,10
sudo,14416,0,11
sudo,14417,0,11
sudo,14118,67,580
sudo,14117,66,580
fibonacci,14431,0,2
fibonacci,14432,0,2
sudo,14429,0,2
sudo,14430,0,2
sudo,14428,0,11
sudo,14426,0,12
sudo,14120,67,595
sudo,14427,0,13
sudo,14425,5,19
sudo,14119,67,604
fibonacci,14445,0,3
fibonacci,14447,0,2
sudo,14446,1,3
fibonacci,14448,0,2
sudo,14441,1,5
sudo,14440,1,11
sudo,14443,1,4
sudo,14439,7,12
sudo,14436,1,13
sudo,14437,2,13
sudo,14433,18,14
sudo,14122,77,608
sudo,14434,7,14
sudo,14124,76,608
sudo,14123,77,608
fibonacci,14444,10,7
sudo,14442,1,8
